date,sentiment,text
2017-10-01,2,I added a video to a playlist ?a Microsoft 's New Xbox One X Announcement Ticks Off A Lot Of People! But
2017-10-01,2,I liked a video ?a Microsoft 's New Xbox One X Announcement Ticks Off A Lot Of People! But It Really
2017-10-01,2,How do you get robbed touchdowns in one game
2017-10-01,2,"WhenthePCwaslaunched,peopleknewitwasimportant. - BillGates"
2017-10-01,0,BULLSHIT
2017-10-01,2,"Microsoft Surface "" Tablet GB Windows RT - Silver (P3W00001)"
2017-10-01,2,Second shitty call by the refs. Costs Cards TDs
2017-10-01,2,Damn it. I have Verizon!!
2017-10-01,2,Bill Gates has rejected Windows Mobile and now uses Android. Here's why:
2017-10-01,4,"I was in my business class when I realized Excel must be a fan ""...Cuz I know I can treat you better than he can"""
2017-10-01,4,Remember years ago when spam was awful? I remember Bill Gates publicly we'd fix it soon. We didn't believe him. We should have.
2017-10-01,2,Microsoft Office Groove Security Bypass / Code Execution
2017-10-01,4,Chime in: Should Microsoft release a Surface trackpad?
2017-10-01,4,Congrats on the win
2017-10-01,0,can our O-Line be under review pls like wtf
2017-10-01,4,Microsoft you win the Gif of the day
2017-10-01,4,Interview with Microsoft Board Member Sandra Peterson
2017-10-01,4,Interview with Microsoft Board Member Sandra Peterson
2017-10-01,2,Bill Gates has rejected Windows Mobile and now uses Android. Here's why:
2017-10-01,2,"I have no clue then, thats where Id go for bug reports. See if the bug persists in another world. If so then maybe try righting a review on the stores page."
2017-10-01,2,Bill Gates is actually short for Billionaire Gateway guy
2017-10-01,4,"minutes with Microsoft 's CEO: A new book, a new culture and a complete nonsense answer - The Denver Post The"
2017-10-01,4,"Microsoft Pix, smartphone addiction, and Google search eBooks - Top for the week"
2017-10-01,4,"Microsoft Pix, smartphone addiction, and Google search eBooks - Top for the week"
2017-10-01,2,Skype Preview // Sneak peek at UX refresh for iOS - Microsoft Community a580f0287df0ed946d21f9686?src=twitter via
2017-10-01,4,Yay! Just became a Certified MIE through education online
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality.."
2017-10-01,4,Overflow uses Microsoft to make that assists developers
2017-10-01,4,Microsoft CEO Satya Nadella discusses the jobs of the future
2017-10-01,2,Microsoft Office Word Information Disclosure
2017-10-01,2,Minecraft Xbox One/PE/ Windows Bedrock Elemental Factions Server Relm Showcase Come and Join: ?a via
2017-10-01,4,"Microsoft Office is a software that provides productivity software and related services for subscribers. For business users, Office"
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,4,Microsoft 's Azure Has Become A Terror To Other Cloud Computing Players - -microsofts-azure-become-terror-cloud-computing-players
2017-10-01,0,"So the bug tracker is only letting me report for ""Current Version: v1.2.1.1"" but I have v1.2.1 and the MS Store says I'm up to date. Now what?"
2017-10-01,0,because my pp smol sorry
2017-10-01,2,Microsoft CEO Satya Nadella elains what happened when employees struggled with a gross milk situation
2017-10-01,0,Could I suggest ?
2017-10-01,0,No ur sayin ur basically bill gates compared to me ur acting like u have millions of subs and when the fuck did i say i was bigger than u???
2017-10-01,2,"We DemoRats love to build walls around our companies like Google, Apple, Facebook and Microsoft for security but never the Country"
2017-10-01,4,Learning Microsoft Teams for Education
2017-10-01,4,use of plastic bags drops after microsoft partnered with islamic refugees
2017-10-01,0,Windows ! Why can't I find my wifi network?! I'm done. I'm going to the movies. I'll look for a resolution later.
2017-10-01,0,I liked a video ?a Microsoft 's New Xbox One X Announcement Ticks Off A Lot Of People! But It Really
2017-10-01,2,How to run Kali Linux in Docker on Windows A lot of people use Linux. A lot of people use Windows. A lot of...
2017-10-01,2,Windows Fall Creators Update Unlocks Windows Mixed Reality
2017-10-01,2,Windows ?
2017-10-01,4,How to run Kali Linux in Docker on Windows A lot of people use Linux. A lot of people use Windows. A lot of...
2017-10-01,0,How to run Kali Linux in Docker on Windows A lot of people use Linux. A lot of people use Windows. A lot of...
2017-10-01,4,"On this day, two years ago, I was honored to meet Satya Nadella at Microsoft Innovation Fest in Mexico City"
2017-10-01,0,apple and microsoft owe everyone money for the time they try to sync across their devices--should be more interoperable without cloud
2017-10-01,2,"Windows , but it may work on . Right click the volume icon and its in the speaker settings somewhere. Theres reverb and EQ as well"
2017-10-01,2,Microsoft Stack to Allow to Build True
2017-10-01,4,Microsoft CEO Satya Nadella says the company passed on buying Minecraft years before via
2017-10-01,0,Head out to one of the viewing parties Microsoft is holding at Microsoft Stores around the world! I know I'll be going.
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality overquantity"
2017-10-01,2,Microsoft Office Groove Security Bypass / Code Execution
2017-10-01,2,Microsoft Office Word Information Disclosure
2017-10-01,2,Enter to a Nextbook Flexx A from . - Enter to ! t-windows10-microsoft.html-159931
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,2,Retweeted Fortune ( ): Meet the -year-old who is the champion of Microsoft Excel...
2017-10-01,0,Me ha gustado un vdeo de ( ?a - Microsoft 's New Xbox One X Announcement Ticks Off A Lot Of People! But
2017-10-01,0,Why Bill Gates Chose Android And Rejected Windows Mobile - Forbes
2017-10-01,0,"Are you dumb, like I said thats like a homeless guy calling bill gates poor as an insult, it makes no sense"
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity:"
2017-10-01,4,Google & Microsoft Are Building Software to Identify & Trendsetters
2017-10-01,4,"GTA V New en ebay: BRAND NEW! SEALED GTA Grand Theft Auto V - XB1 ( Microsoft Xbox One, )"
2017-10-01,2,Bill Gates
2017-10-01,2,Microsoft - Sculpt Touch Souris tactile Bluetooth - gris
2017-10-01,2,Microsoft Wireless Desktop - Ensemble clavier AZERTY et souris sans fil
2017-10-01,2,Microsoft CEO Satya Nadella elains what happened when employees struggled with a gross milk sit... -ceo-satya-nadella-elains-133000181.html?soc_srccial-sh&soc_trk=tw via
2017-10-01,2,Better than Microsoft edge
2017-10-01,2,Why Bill Gates Chose Android And Rejected Windows Mobile - Forbes
2017-10-01,2,MS Word Tutorial - Using Bullets in Microsoft Word
2017-10-01,2,He's also managed to create this bizarro universe where I'm delighted to see a terrible Bill Gates impersonator
2017-10-01,2,"FortuneMagazine ""Meet the -year-old who is the champion of Microsoft Excel """
2017-10-01,4,FREE! Windows - x4 Safari
2017-10-01,2,"Google, Apple, Microsoft , Cisco, etc are NOT on your side -valley-tax-reform-243318"
2017-10-01,2,Microsoft quietly edits Forza Motorsport 'VIP' listing after backlash
2017-10-01,4,Microsoft office2013 home andra11
2017-10-01,0,"Check out my new album ""Walk a Mile in My Blues"" distributed by and live on Microsoft Groove! -11db-89ca-0019b92a3933?partnerID=AppId:00000000441C9F3C"
2017-10-01,4,To the person who keeps trying to hack my Microsoft account... smd on soft hoe
2017-10-01,2,Microsoft Worldwide Partner Conference : Key Highlights Worldwide Partner Co
2017-10-01,2,eEye Digital Security Alerts Enterprises of Microsoft NT Vulnerability | Business Wire
2017-10-01,4,Gostei de um vdeo do ?a Microsoft 's New Xbox One X Announcement Ticks Off A Lot Of People! But It
2017-10-01,2,Microsoft Office Groove Security Bypass / Code Execution
2017-10-01,2,Why Bill Gates Chose Android And Rejected Windows Mobile Forbes
2017-10-01,2,Microsoft Office Word Information Disclosure
2017-10-01,4,"Microsoft lumia XL LTE dual sim Price, Specifications Friends, I have in my last post about the InFocus M3 ?utm_source=ReviveOldPost&utm_mediumcial&utm_campaign=ReviveOldPost"
2017-10-01,2,Microsoft : this surface thing will make laptops OBSOLETE Microsoft : so check it out. A LAPTOP
2017-10-01,2,"New on Ebay! TITANFALL ( Microsoft Xbox , ) Sealed NEW"
2017-10-01,2,Why Bill Gates Chose Android And Rejected Windows Mobile
2017-10-01,4,Microsoft Xbox One Day One Edition GB Black Console $150.00 via eBay
2017-10-01,4,The Mascal played Forza Motorsport ( Windows ) in the last hours ?1506900673
2017-10-01,0,Sokhar29 played Cuphead ( Windows ) in the last hours ?1506900668
2017-10-01,0,Guuuurl. Wow I've been behind
2017-10-01,0,So are you ever planning on supporting VR at the OS level or just going to make rd party do it like always?
2017-10-01,2,microsoft the hacking gient do we alow them go on hacking or do we stop them all microsoft software has same probem and i know what proem
2017-10-01,2,: Microsoft Office Groove Security Bypass / Code Execution
2017-10-01,4,: Microsoft Office Word Information Disclosure
2017-10-01,4,: Meet the -year-old who is the champion of Microsoft Excel
2017-10-01,4,Getting to Know Microsoft Azure - goERPcloud ?r ead=https%3A%2F%2Fwww.goerpcloud.com%2Fgetting%2Dknow%2Dmicrosoft%2Dazure%2F
2017-10-01,0,: Google & Microsoft Are Building Software to Identify & Trendsetters
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,4,"One year later, Microsoft AI and Research grows to k people in massive bet on artificial intelligence"
2017-10-01,4,I liked a video ?a Things You Should Do After Upgrading to Windows
2017-10-01,2,The module browser by ?_utm_source=1-2-2
2017-10-01,0,make it playable on windows like my country escape is tyvm
2017-10-01,0,So it must be the Linux subsystem on Windows !!!
2017-10-01,4,Meet the -year-old who is the champion of Microsoft Excel
2017-10-01,2,$79 Microsoft Dynamics AX Will Make You The Veteran. Now! Click To Download:
2017-10-01,2,". 's future, according to in his new book Hit Refresh. $ MSFT"
2017-10-01,2,How tech is transforming the education landscape through immersive technologies - Microsoft Business Summit
2017-10-01,4,The whining is over:' How Microsoft CEO Satya Nadella showed his executives tough love via
2017-10-01,4,Im buying a windows were watching shirt soon
2017-10-01,2,Pillars of Eternity: Complete Edition [Download] by Obsidian Platform: Windows /
2017-10-01,0,"Highlight of my week: Tracking MSFT colleague as he drives his GargantuVan cross-country, eating pizza, & taking pics of ceramic dinosaur."
2017-10-01,2,core and fundamental to his & transformation
2017-10-01,4,"Bill Gates thinks the % should foot the bill for renewable energy, and he's offering the first $2B."
2017-10-01,4,the new AR features in the windows creators update is pretty cool
2017-10-01,0,Don't let Microsoft Edge be on that game. She'll be lonely as fuck!
2017-10-01,0,Nox dice que no me funciona con WIndows .
2017-10-01,2,$79 Microsoft Dynamics AX Will Make You The Veteran. Now! Click To Download:
2017-10-01,2,$79 Microsoft Dynamics AX Will Make You The Veteran. Now! Click To Download:
2017-10-01,2,$79 Microsoft Dynamics AX Will Make You The Veteran. Now! Click To Download:
2017-10-01,2,$79 Microsoft Dynamics AX Will Make You The Veteran. Now! Click To Download:
2017-10-01,2,$79 Microsoft Dynamics AX Will Make You The Veteran. Now! Click To Download:
2017-10-01,2,$79 Microsoft Dynamics AX Will Make You The Veteran. Now! Click To Download:
2017-10-01,2,$79 Microsoft Dynamics AX Will Make You The Veteran. Now! Click To Download:
2017-10-01,4,I won the Lexicologist achievement in Microsoft Ultimate Word Games (Win ) for pts
2017-10-01,4,Microsoft Office Groove Security Bypass / Code Execution Microsoft Office Groove contains a security byp
2017-10-01,4,Microsoft Office Word Information Disclosure Microsoft Office Word suffers from an information disclosur
2017-10-01,4,"New post: ""When it comes to extensions for Edge, Microsoft puts quality over quantity"" via digitaltrends"
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity: Despite being"
2017-10-01,0,is anyone elses windows update taking more than hours cuz im kinda worried at this point
2017-10-01,0,"Free video with setups for Oct ""Don't Force It"" $ WYNN $ AAPL $ MSFT $ CY $ ISRG -force-it"
2017-10-01,4,"DigitalTrends: When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,2,"Original Microsoft Xbox, Black, Console Only, TESTED & WORKING! TRAY STICKS. $35.00 via eBay"
2017-10-01,0,New on Ebay Microsoft Xbox One S White Console stuck on loading
2017-10-01,0,The latest Initech Daily! ?edition_id=ef0e1bc0-a6ff-11e7-8d59-0cc47a0d15fd
2017-10-01,4,"It's fine to celebrate success, but it is more important to heed the lessons of failure.- Bill Gates"
2017-10-01,2,"Master the power of Office Suite with the eLearnExcel + eLearnOffice: Lifetime Subscription, $49!"
2017-10-01,2,"Bill Gates thinks the % should foot the bill for renewable energy, and he's offering the first $2B. ?st=J89DJQSY&sh=bb29c372"
2017-10-01,2,Microsoft Office Groove Security Bypass / Code Execution
2017-10-01,2,Microsoft Office Word Information Disclosure
2017-10-01,0,"Apparently if I play Overwatch on PC, I show up online on Xbox Live. Can't figure out if that's because of Windows , or Battlenet"
2017-10-01,2,Microsoft Office Groove Security Bypass / Code Execution: Microsoft Office Groove contains a security
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,2,Microsoft Office Word Information Disclosure: Microsoft Office Word suffers from an information
2017-10-01,2,Charter Trust Co. Cuts Stake in Microsoft Corporation (NASDAQ: MSFT )
2017-10-01,4,"DigitalTrends: When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,0,Jay Z money Neymar money Messi money Bill Gates money Dr. Dre money that's what I need
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,4,I've never understood why tf microsoft deemed it logical to program auto shadow into every damn drawn object in Office products
2017-10-01,2,Microsoft Office Groove Security Bypass / Code Execution
2017-10-01,2,Microsoft Office Word Information Disclosure
2017-10-01,2,How to use Emojis in Windows -in-wind ows-10 via
2017-10-01,2,"Tom Clancy's The Division ( Microsoft Xbox One, )"
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,0,Hey Rayman HD is supposed to be part of . Why is it still trying to charge me? fe-1000-9115-d8025841123f?noSplash=1
2017-10-01,2,"New on Ebay Tom Clancy's The Division ( Microsoft Xbox One, )"
2017-10-01,4,": When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,4,I liked a video ?a Microsoft 's New Xbox One X Announcement Ticks Off A Lot Of People! But It Really
2017-10-01,4,"When it comes to extensions for Edge, puts quality over quantity"
2017-10-01,0,"My brain just read ""Monopoly"" as "" Microsoft "" and so I guess it's time to go to sleep"
2017-10-01,0,Resume/CV Template contain unique pages for Apple Pages | Microsoft Office Word.
2017-10-01,0,I liked a video ?a Microsoft 's New Xbox One X Announcement Ticks Off A Lot Of People! But It Really
2017-10-01,2,Bill Gates
2017-10-01,4,I liked a video ?a Microsoft Conference - Easy Allies Reactions - E3
2017-10-01,4,Microsoft Xbox One S tb Forza Horizon Console Bundle With k Ultra Hd Blu-ray White -xbox -one-s-1tb-forza-horizon-3-console-bundle-with-4k-ultra-hd-blu-ray-white
2017-10-01,2,my dad work at microsoft if you dont leve me alone ill get you IP ban.
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,4,"Microsoft Improves Excel, Twitter Tests Characters...And Other Small Business Tech News This Week"
2017-10-01,4,"Microsoft Headquarters | Corporate Office, Company Info, Contact Info"
2017-10-01,0,just like Microsoft with their GB game I'm so fucking angry about this I just wanna play Gears of War
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,2,(Yes I know it's not the game) the card said windows and Xbox If I download the code on my box can I play on my acc on my laptop???
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality overquantity"
2017-10-01,4,Raspbian's new desktop look is so excited about rounded window borders. Meanwhile Windows has gone back to fully square windows.
2017-10-01,2,Got bored at work and opened up Microsoft paint
2017-10-01,2,My sister has a MacBook Air and honestly it might as well be one of those Microsoft Surface tablets but with a real keyboard.
2017-10-01,2,Another great study from - this is how $ MSFT trade made money before earnings years in a row
2017-10-01,0,Fuck Microsoft and fuck ads in my fucking windows installation. Get the fuck out!
2017-10-01,0,Windows |8 CORE COMPUTER with Hyperthreads |HP Z800 Workstation | X
2017-10-01,4,I believe innovation is the most powerful force for change in the world. ~ Bill Gates
2017-10-01,4,Windows .1 Review RoundUp -
2017-10-01,4,How To Reset Mcrosoft Account (Outlook-Hotmal) P CLASSIFIEDS - EMAIL SECURITY ADVERTS
2017-10-01,2,Free eBooks from Microsoft Press
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,4,"Marea cable headed towards the oceanImage: microsoft More than ,000 feet below the ocean's surface, there now..."
2017-10-01,4,Microsoft opens new UK office as a base in the North via
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,2,Why Bill Gates Chose Android And Rejected Windows Mobile
2017-10-01,0,"Dropbox pushes ahead with platform play, dismisses Google and Microsoft threat"
2017-10-01,0,Top Kiwi cloud eert swaps Microsoft for AWS
2017-10-01,4,Starfish brings Microsoft Groove to Amazon Echo
2017-10-01,2,Chime in: Should Microsoft release a Surface trackpad?
2017-10-01,2,Stock Watch: Checking the Technicals for MICROSOFT DL-00000625 (MSF.DE)
2017-10-01,4,Carlson Capital Management Has $1.71 Million Stake in Microsoft Corporation ( MSFT )
2017-10-01,2,I added a video to a playlist ?a Microsoft 's New Xbox One X Announcement Ticks Off A Lot Of People! But
2017-10-01,4,Charter Trust Co. Cuts Stake in Microsoft Corporation (NASDAQ: MSFT )
2017-10-01,4,"The Xbox One X Is ""Its Own Thing,"" Not Just an Upgrade, Says Microsoft Exec"
2017-10-01,0,Microsoft may not unveil a new Surface Book until next year
2017-10-01,2,Microsoft quietly edits Forza Motorsport 'VIP' listing after backlash
2017-10-01,2,How Satya Nadella helped Microsoft get its groove back oft-ai-satya-nadella-company-tech-business
2017-10-01,2,I liked a video ?a Microsoft 's New Xbox One X Announcement Ticks Off A Lot Of People! But It Really
2017-10-01,2,Theater
2017-10-01,0,I want Windows to stop telling me to use Microsoft Edge. I refuse
2017-10-01,2,I SWEAR I JUST SAW THE CEO OF MICROSOFT AND NO ONE FREAKING NOTICED!!!
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,2,Great. I just wonder if Windows has its own audio ducking or something. That gets annoying if that's true.
2017-10-01,2,Cuphead - Xbox One/ Windows [Digital Code] by Studio MDHR Platform: Xbox One (20) Buy new
2017-10-01,4,"Super Lucky's Tale Hands-on Preview From VR with Love: Fast forward to the present day, and Microsoft are"
2017-10-01,2,Chime in: Should Microsoft release a Surface trackpad?
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity - Digital Trends"
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity"
2017-10-01,4,"When it comes to extensions for Edge, Microsoft puts quality over quantity: Despite being the subject of a lot of..."
2017-10-01,2,Make sure you enter to win a Nextbook Flexx A -in-1 tablet with Windows on
2017-10-01,4,Best way to begin school is with a Microsoft surface.
2017-10-01,2,Defining a Cost Allocation Model in Azure Cost Management Powered by Cloudyn
2017-10-01,2,Defining a Cost Allocation Model in Azure Cost Management Powered by Cloudyn
2017-10-01,2,"They should share between windows app ""Movies and TV"" between that and same app on xbox one. Same account, though!"
2017-10-01,0,Really ? You are going to sponsor NFL teams and not make a statement in solidarity w/ athletes that ? Buying Mac next.
2017-10-01,2,Does the Windows ISO have a EI.CFG file for changing theedition?
2017-10-01,4,"Microsoft commits to deliver next Office client, servers by second half"
2017-10-01,2,"New on Ebay: FIFA ( Microsoft Xbox One, ) great condition pre owned"
2017-10-01,2,I added a video to a playlist Tablet Windows - How to Guide and Specs
